"UC_0773"	"NN_0141"	"NN_0155"	"UC_0854"	"UC_0387"	"UC_0366"	"UC_0703"	"UC_0288"	"UC_0912"	"UC_0895"	"NN_0809"	"NN_0681"	"NN_0762"	"NN_0643"	"UC_0297"	"NN_0477"	"NN_0504"	"NN_0662"	"UC_0765"	"UC_0524"	"UC_0423"	"UC_0426"	"UC_0157"	"UC_0508"	"UC_0813"	"UC_0994"
"chr18.658239"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
"chr18.658242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0
"chr18.658243"	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
"chr18.658248"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	6	0	1	0	0	0
"chr18.658249"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"chr18.658255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2
"chr18.658256"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"chr18.658301"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
"chr18.658302"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658303"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658304"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658305"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"chr18.658306"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658308"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
"chr18.658309"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"chr18.658340"	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0
"chr18.658341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0
"chr18.658362"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"chr18.658363"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"chr18.658367"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658368"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"chr18.658372"	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0
"chr18.658373"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
"chr18.658390"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.658391"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.658405"	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
"chr18.658406"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658416"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"chr18.658417"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"chr18.658419"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658420"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"chr18.658445"	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"chr18.658446"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658447"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658448"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.658487"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"chr18.658488"	1	0	0	0	0	0	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658525"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658526"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658534"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
"chr18.658552"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"chr18.658573"	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.658603"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"chr18.658605"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658616"	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1	0	1
"chr18.658642"	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0
"chr18.658647"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
"chr18.658663"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
"chr18.658674"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"chr18.658698"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.658706"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
"chr18.658720"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.658842"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.658843"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"chr18.658870"	0	0	3	0	0	0	0	1	0	0	1	1	0	4	1	0	2	0	3	4	6	3	0	1	0	0
"chr18.658871"	0	0	0	2	0	1	1	2	1	1	5	2	0	2	1	3	7	2	1	0	1	1	0	2	0	1
"chr18.658883"	0	0	1	1	0	1	0	3	0	1	1	1	1	1	1	0	2	0	3	1	2	2	0	1	0	2
"chr18.658884"	0	1	0	0	0	0	0	3	1	1	3	0	0	1	1	1	0	1	1	0	1	0	0	2	0	0
"chr18.658890"	0	0	1	0	0	0	0	2	0	0	0	1	1	1	0	0	0	0	1	1	2	0	0	3	1	0
"chr18.658891"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.658906"	0	0	1	0	0	0	0	2	0	1	0	1	0	2	0	0	3	3	5	0	3	0	2	0	0	0
"chr18.658907"	0	0	1	3	0	0	1	2	0	2	4	0	0	0	0	1	0	0	1	1	2	0	0	1	1	0
"chr18.658937"	1	0	2	1	0	4	1	5	0	1	4	4	2	1	1	0	7	4	6	9	9	4	8	0	0	4
"chr18.658938"	0	3	2	2	0	0	3	3	0	2	6	1	1	2	3	1	4	0	4	4	5	2	0	7	1	5
"chr18.658947"	2	2	8	2	0	4	0	11	0	2	3	4	4	2	0	0	5	9	9	6	8	7	8	3	2	4
"chr18.658948"	0	1	2	5	0	0	4	2	2	2	9	6	3	0	2	0	8	0	9	4	6	3	1	5	1	4
"chr18.659619"	6	0	18	13	5	0	0	15	6	12	18	11	13	5	6	7	26	28	30	18	18	14	13	15	5	23
"chr18.659667"	15	0	22	26	13	10	5	45	3	16	23	26	28	12	9	32	50	41	33	31	25	34	21	23	19	27
"chr18.659668"	3	5	9	13	0	4	4	20	6	8	14	8	15	11	8	4	9	14	0	0	0	0	5	6	0	0
"chr18.659725"	24	11	24	26	17	12	16	60	16	36	38	36	48	21	13	46	62	52	31	40	27	37	27	35	23	21
"chr18.659726"	14	9	8	21	5	23	16	23	7	17	21	14	16	23	15	15	32	22	7	10	9	0	0	8	0	10
"chr18.659813"	10	0	15	20	10	8	7	19	0	11	15	14	17	11	5	14	17	15	15	23	7	24	7	12	0	23
"chr18.659814"	4	5	8	9	0	5	11	19	0	12	13	9	16	9	10	7	28	15	0	0	5	0	0	6	0	12
"chr18.660679"	18	10	22	27	0	8	7	30	6	28	20	23	14	15	9	26	40	24	47	41	31	17	27	48	11	46
"chr18.660680"	5	0	5	12	0	0	10	20	7	11	13	7	6	9	0	10	21	17	18	19	14	9	3	9	3	8
"chr18.660735"	29	29	37	29	11	20	16	54	11	37	33	29	22	31	20	40	57	53	55	81	51	43	48	52	43	68
"chr18.660736"	7	10	10	30	11	5	12	34	9	14	18	9	18	15	6	24	36	29	28	22	8	14	15	13	20	19
"chr18.660756"	26	30	33	26	12	29	16	52	11	36	35	29	27	27	17	38	53	45	60	81	56	51	56	66	55	66
"chr18.660757"	6	17	8	36	10	6	12	30	12	18	22	16	20	16	13	27	38	34	30	23	5	14	18	15	20	18
"chr18.672819"	0	3	0	7	0	0	5	11	6	5	20	13	7	8	0	12	9	11	7	6	11	9	7	13	0	13
"chr18.672866"	15	8	12	23	11	11	13	23	12	24	42	44	21	17	7	45	23	27	22	20	17	26	13	19	0	27
"chr18.672867"	9	8	10	9	8	10	9	7	8	7	15	23	17	7	0	20	29	30	9	0	8	0	6	7	0	0
"chr18.672902"	27	10	27	30	21	6	11	42	13	22	58	51	34	23	14	57	55	42	31	36	48	27	20	22	0	24
"chr18.672903"	7	16	13	19	8	7	11	12	6	16	13	30	15	8	7	31	28	37	9	16	8	11	10	13	6	7
"chr18.672963"	56	40	38	41	27	20	28	77	15	40	68	77	67	41	24	86	88	73	42	71	55	36	25	48	21	46
"chr18.672964"	14	21	29	21	14	12	7	18	9	16	34	42	29	9	11	43	62	35	10	21	16	10	13	13	8	12
"chr18.673016"	17	41	11	26	14	20	12	88	6	41	88	66	69	40	0	46	104	76	51	33	28	51	38	57	8	41
"chr18.673017"	4	15	7	11	5	15	7	23	4	15	38	38	35	6	0	25	40	38	11	3	3	9	8	11	0	7
"chr18.673055"	35	32	31	40	23	21	23	61	16	28	65	68	54	31	25	48	88	78	36	61	44	31	31	28	15	38
"chr18.673056"	13	13	11	19	13	5	9	26	11	20	31	27	32	7	7	26	20	20	8	12	7	5	8	9	0	9
"chr18.673111"	27	30	30	52	16	20	24	48	20	20	48	49	51	29	22	50	92	64	24	35	47	21	20	40	11	36
"chr18.673112"	23	11	17	25	11	10	14	23	11	21	28	40	32	11	13	31	45	17	10	11	8	6	2	11	0	8
"chr18.673861"	12	11	22	12	0	8	7	17	5	15	22	21	22	16	9	25	35	24	7	8	8	0	0	7	0	9
"chr18.673862"	19	24	21	35	6	13	12	26	9	21	26	38	28	24	15	49	29	25	0	10	10	6	5	0	3	7
"chr18.673891"	18	20	29	23	0	13	10	16	6	14	19	28	32	19	14	41	40	29	4	12	10	7	4	6	0	10
"chr18.673892"	24	30	18	36	12	20	21	30	8	29	30	43	25	37	11	57	53	26	3	8	8	8	2	7	4	7
"chr18.673911"	11	10	19	16	6	12	10	17	2	17	18	22	30	9	10	22	27	23	4	5	8	5	2	3	0	10
"chr18.673912"	19	25	15	29	11	20	12	22	4	14	29	24	19	30	17	46	43	36	5	6	10	4	4	8	5	2
"chr18.673921"	9	10	16	20	3	12	5	17	3	12	13	15	20	7	9	29	22	12	0	3	7	4	0	8	0	6
"chr18.673922"	17	25	11	19	14	15	15	16	6	19	24	23	13	19	10	30	26	24	5	6	5	4	2	6	6	2
"chr18.686280"	8	0	6	8	0	7	0	12	0	8	6	10	9	6	0	19	17	13	24	17	19	17	15	21	3	16
"chr18.686289"	4	0	5	7	0	11	0	11	6	9	4	12	11	9	4	24	19	15	22	20	20	15	15	17	8	12
"chr18.686346"	7	12	7	17	7	11	5	20	8	13	13	21	17	6	8	29	40	18	33	46	38	22	26	30	39	25
"chr18.686365"	12	15	7	16	7	10	7	20	8	8	13	22	18	11	8	28	40	20	37	47	35	28	27	41	40	28
"chr18.708993"	12	15	12	17	0	0	13	15	5	11	13	13	16	16	9	17	17	23	27	22	21	7	16	18	2	17
"chr18.708994"	11	14	11	12	0	0	0	11	0	10	7	20	14	11	0	13	9	13	9	4	3	7	7	5	6	4
"chr18.709014"	16	16	10	18	6	0	12	29	4	14	17	12	20	21	11	22	23	24	23	27	23	5	14	15	5	24
"chr18.709015"	11	14	11	18	0	0	0	19	0	13	8	26	14	15	0	14	13	11	9	5	8	5	12	10	8	6
"chr18.709040"	11	16	9	16	7	4	7	34	0	16	18	15	17	17	12	26	24	30	27	32	29	9	14	15	12	17
"chr18.709041"	6	13	11	15	0	5	0	17	0	14	8	26	11	13	0	15	9	12	9	8	5	8	13	9	6	6
"chr18.709073"	13	11	5	12	0	2	11	23	0	16	13	13	12	13	5	20	17	15	29	34	21	12	12	14	11	11
"chr18.709097"	12	7	9	9	0	0	7	14	0	12	9	11	13	12	5	22	24	10	29	25	19	10	10	13	9	12
"chr18.709113"	9	4	3	7	0	0	5	8	0	10	5	6	3	11	0	15	20	11	30	17	15	6	10	13	7	14
"chr18.711755"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"chr18.711756"	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711786"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"chr18.711787"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711794"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
"chr18.711795"	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711806"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"chr18.711807"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1
"chr18.711812"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711813"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711827"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711828"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.711838"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711839"	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
"chr18.711840"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711841"	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0
"chr18.711857"	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	5	1	0	0	0	0	0	0	0
"chr18.711858"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
"chr18.711883"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711884"	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	3	0	0	0	1	0	0	0
"chr18.711944"	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.711945"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"chr18.711973"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712233"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"chr18.712234"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"chr18.712250"	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712251"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.712252"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"chr18.712253"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"chr18.712281"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712282"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"chr18.712287"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"chr18.712288"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
"chr18.712299"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
"chr18.712300"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"chr18.712306"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712307"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712324"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712329"	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
"chr18.712354"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712683"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
"chr18.712686"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712693"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.712701"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0
"chr18.712718"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"chr18.712719"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712729"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0
"chr18.712730"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"chr18.712731"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"chr18.712732"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	2	0
"chr18.712733"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0
"chr18.712734"	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"chr18.712737"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
"chr18.712738"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712744"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0
"chr18.712745"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.712781"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0
"chr18.712782"	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.712789"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"chr18.712790"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"chr18.712795"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"chr18.712796"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"chr18.712802"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
"chr18.712803"	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	3	1	1	1	2	2	2
"chr18.712809"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	6	0	1	0	2	0
"chr18.712810"	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	4	3	3	0	0	6	4	0
"chr18.712812"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0
"chr18.712813"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"chr18.712832"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0
"chr18.712833"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	0
"chr18.712844"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0
"chr18.712845"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	2	4	0
"chr18.712854"	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	2	6	0	5	3	0	3
"chr18.712855"	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	1	0	7	3	1	2	7	3	4	1
"chr18.712864"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	2	0	0
"chr18.712988"	3	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	1	3	0	1
"chr18.712998"	2	2	0	2	0	0	2	1	3	2	0	0	0	0	0	1	0	1	1	2	13	1	8	2	0	4
"chr18.712999"	0	0	3	3	1	1	0	2	0	1	0	0	1	0	0	0	0	1	1	6	11	3	11	3	4	5
"chr18.713008"	2	3	0	2	0	1	3	0	3	2	1	0	1	3	0	6	0	0	2	5	11	0	5	3	0	3
"chr18.713009"	1	2	4	0	1	3	0	6	0	2	2	0	1	0	4	3	3	2	4	9	15	7	12	7	4	13
"chr18.713015"	2	0	0	3	0	1	0	4	2	4	0	0	1	1	0	6	2	1	3	4	7	0	4	1	1	4
"chr18.713016"	0	1	4	4	1	4	0	6	0	1	1	0	0	0	5	0	3	2	3	7	13	3	8	3	7	11
"chr18.713025"	2	4	0	7	0	1	2	6	2	7	1	0	2	5	0	9	2	6	6	8	14	4	7	4	1	7
"chr18.713026"	1	2	3	5	2	4	5	7	0	5	3	0	0	2	7	1	2	2	9	11	22	3	13	6	5	11
"chr18.713049"	1	2	0	9	1	0	3	3	3	3	3	0	3	7	2	11	1	13	7	9	17	4	7	9	2	4
"chr18.713050"	2	2	4	4	4	6	3	14	0	4	8	0	0	1	5	2	1	5	12	18	24	2	13	6	11	12
"chr18.713055"	1	4	0	8	2	2	2	7	4	4	3	0	4	7	4	9	2	11	13	12	17	8	7	8	2	8
"chr18.713056"	3	3	4	6	2	6	2	13	4	8	5	0	3	1	8	6	3	9	12	16	23	5	14	4	14	13
"chr18.713065"	2	3	2	8	1	2	2	7	3	7	5	0	6	4	5	9	4	13	7	10	16	7	9	9	5	9
"chr18.713066"	3	4	6	6	3	8	6	19	5	7	8	1	3	1	12	9	4	8	19	21	24	6	17	6	16	14
"chr18.713071"	3	4	1	14	1	2	4	8	1	8	8	0	6	5	6	8	5	13	13	11	14	10	8	11	7	8
"chr18.713072"	6	7	8	9	2	6	5	17	6	6	5	0	7	2	12	10	5	11	24	24	22	10	15	6	24	10
"chr18.713085"	3	6	2	16	0	1	4	9	4	13	7	4	9	7	6	8	4	17	15	13	13	11	10	11	10	8
"chr18.713086"	7	8	11	9	5	6	6	16	8	6	6	1	8	6	10	13	4	17	18	30	28	16	17	13	23	12
"chr18.713177"	4	2	2	14	3	2	0	11	3	12	3	0	6	3	4	9	0	13	16	17	13	1	7	7	7	5
"chr18.713178"	2	4	11	9	0	6	4	20	0	6	11	5	5	7	8	11	8	21	12	23	10	11	16	9	6	6
"chr18.713200"	7	1	0	10	0	0	0	15	5	9	2	1	4	6	0	11	7	13	16	15	10	5	13	5	9	8
"chr18.713201"	4	5	9	5	0	5	1	19	0	8	10	5	2	4	8	9	5	14	11	11	5	5	21	11	11	8
"chr18.713205"	6	2	0	7	0	0	0	12	3	3	3	0	3	5	0	8	0	9	16	10	8	2	12	8	5	8
"chr18.713206"	4	5	7	4	0	3	1	15	0	7	11	4	0	5	4	7	5	11	4	7	0	6	21	10	10	5
"chr18.713233"	6	0	0	7	0	0	4	9	0	3	2	0	3	5	0	7	7	9	12	9	4	7	12	7	5	9
"chr18.713234"	2	1	6	5	0	2	2	9	0	3	11	5	4	7	2	3	6	9	5	4	3	6	17	5	5	6
"chr18.713241"	3	0	0	7	0	0	2	5	0	3	3	0	4	3	0	7	7	9	11	7	4	8	9	8	5	8
"chr18.713242"	0	1	5	4	0	2	0	7	0	5	8	3	1	4	0	0	7	7	9	5	3	4	13	4	0	4
"chr18.713247"	0	2	7	4	0	2	0	11	0	9	8	3	6	7	0	0	5	6	7	6	7	7	12	6	0	7
"chr18.713251"	0	2	8	4	0	3	0	7	0	7	7	3	4	3	0	0	5	5	7	6	6	7	12	7	0	7
"chr18.713270"	0	2	5	8	0	4	0	4	0	5	7	2	4	3	0	0	3	5	7	4	6	6	10	7	0	5
"chr18.811501"	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.811502"	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0
"chr18.811505"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.811506"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"chr18.811510"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
